Leq( Avg),total vehicles,2W,3W,4w,HV,Distance of residents from the road,Age,Health Hazards,,,,,,,,,,,
87.9,958,727,81,128,22,19.094,3,5,,,,,,,,,,,
94.5,579,390,68,95,26,57.414,2,5,,,,,,,,,,,
93.2,602,409,62,109,22,18.894,2,5,,,,,,,,,,,
80.1,849,624,93,111,21,56.404,2,5,,,,,,,,,,,
91.2,773,539,46,164,24,52.644,4,4,,,,,,,,,,,
80.59,636,427,50,132,27,16.214,3,3,,,,,,,,,,,
94.28,618,402,66,133,17,23.154,5,5,,,,,,,,,,,
87.54,765,561,75,110,19,41.884,3,1,,,,,,,,,,,
82.4,802,605,57,117,23,273.914,2,3,,,,,,,,,,,
99.45,744,516,79,133,16,198.151,2,4,,,,,,,,,,,
87.9,819,614,58,134,13,40.001,2,4,,,,,,,,,,,
93.2,758,559,80,104,15,15.991,3,1,,,,,,,,,,,
88.38,765,590,62,101,12,18.961,2,5,,,,,,,,,,,
76.4,797,616,53,117,11,57.281,2,2,,,,,,,,,,,
84.9,769,531,75,155,8,18.761,3,4,,,,,,,,,,,
81.2,591,419,57,100,15,56.271,2,4,,,,,,,,,,,
97,580,394,79,87,20,52.511,3,1,,,,,,,,,,,
89.2,690,535,58,85,12,16.081,2,4,,,,,,,,,,,
79.7,643,423,80,121,19,23.021,4,2,,,,,,,,,,,
88.7,548,398,62,65,23,41.751,2,5,,,,,,,,,,,
85.36,699,557,53,66,23,273.781,3,5,,,,,,,,,,,
90.2,762,601,67,74,20,300.191,4,3,,,,,,,,,,,
90.2,699,512,70,98,19,196.751,3,5,,,,,,,,,,,
79.0314,819,610,80,104,25,272.871,2,5,,,,,,,,,,,
81,771,546,67,133,25,299.281,2,2,,,,,,,,,,,
86.7,716,499,61,135,21,195.841,2,3,,,,,,,,,,,
99.4,971,729,92,136,14,321.841,4,5,,,,,,,,,,,
89.2,565,392,45,103,25,16.141,3,4,,,,,,,,,,,
78.9,582,411,49,110,12,38.82,3,2,,,,,,,,,,,
85.2,831,626,65,119,21,14.81,2,4,,,,,,,,,,,
80.76,772,541,74,129,28,17.78,2,3,,,,,,,,,,,
91.5,605,429,56,93,27,56.1,4,5,,,,,,,,,,,
85.2,612,404,78,107,23,17.58,2,5,,,,,,,,,,,
81.3,764,563,67,114,20,55.09,3,2,,,,,,,,,,,
96,855,607,61,162,25,51.33,3,3,,,,,,,,,,,
88,737,518,92,97,30,14.9,2,4,,,,,,,,,,,
101,777,616,45,94,22,21.84,4,2,,,,,,,,,,,
94,712,561,49,80,22,40.57,3,5,,,,,,,,,,,
74,810,592,65,128,25,272.6,2,5,,,,,,,,,,,
89.5,778,618,74,65,21,299.01,2,5,,,,,,,,,,,
84.2,678,533,56,71,18,195.57,2,5,,,,,,,,,,,
100.4,596,421,78,77,20,321.57,4,4,,,,,,,,,,,
90.1,576,396,57,101,22,15.87,3,3,,,,,,,,,,,
87.67,929,723,79,107,20,11.82,5,5,,,,,,,,,,,
93.43,592,386,61,126,19,15.09,3,1,,,,,,,,,,,
90.2,606,405,52,128,21,21.63,2,3,,,,,,,,,,,
97.86,829,620,74,122,13,17.84,2,4,,,,,,,,,,,
95.8,708,535,56,98,19,298.756,2,4,,,,,,,,,,,
79,620,423,78,99,20,195.316,3,1,,,,,,,,,,,
97.43,606,398,57,125,26,321.316,2,5,,,,,,,,,,,
83.1,788,557,79,126,26,15.616,2,2,,,,,,,,,,,
82.3,785,601,61,100,23,11.566,3,4,,,,,,,,,,,
92.34,716,543,52,104,17,14.836,2,4,,,,,,,,,,,
69.1,732,508,66,135,23,20.98,2,4,,,,,,,,,,,
69.5,822,606,59,130,27,45.87,4,2,,,,,,,,,,,
70.1,765,551,73,114,27,133.5,3,5,,,,,,,,,,,
98.65,792,582,76,122,12,12.58,2,5,,,,,,,,,,,
91.45,769,556,66,129,18,7.35,2,5,,,,,,,,,,,
71.9,851,600,88,144,19,636,2,5,,,,,,,,,,,
70.3,724,511,70,122,21,16.95,4,4,,,,,,,,,,,
84.55,824,609,61,134,20,180.35,3,3,,,,,,,,,,,
94.95,792,554,75,143,20,262.69,5,5,,,,,,,,,,,
87.1,820,585,78,134,23,72.25,3,1,,,,,,,,,,,
71.2,851,612,68,147,24,12.25,2,3,,,,,,,,,,,
69,719,586,47,72,14,976.84,2,4,,,,,,,,,,,
76.05,761,612,63,68,18,190.12,2,4,,,,,,,,,,,
82.4,707,527,72,99,9,195.5,3,1,,,,,,,,,,,
78.1,576,415,54,100,7,71.5,2,5,,,,,,,,,,,
67.8,604,390,76,131,7,355.5,2,2,,,,,,,,,,,
70.3,930,717,65,133,15,671.78,3,4,,,,,,,,,,,
80.3,589,380,59,134,16,998.86,2,4,,,,,,,,,,,
93.45,610,399,90,101,20,525.33,3,1,,,,,,,,,,,
83.45,776,614,43,108,11,21.23,3,5,,,,,,,,,,,
69.3,704,529,47,117,11,46.12,4,3,,,,,,,,,,,
69.3,624,417,63,127,17,133.75,1,5,,,,,,,,,,,
91.68,785,516,88,162,19,12.83,2,4,,,,,,,,,,,
84.55,806,614,70,101,21,7.6,2,3,,,,,,,,,,,
87.1,808,607,61,118,22,636.25,2,4,,,,,,,,,,,
69.3,778,552,65,139,22,17.2,4,2,,,,,,,,,,,
72.2,829,583,68,162,16,180.6,3,5,,,,,,,,,,,
75.4,813,610,58,116,29,262.94,2,4,,,,,,,,,,,
91.25,814,555,80,151,28,72.5,2,5,,,,,,,,,,,
90.7,785,586,62,108,29,12.5,3,5,,,,,,,,,,,
68.3,752,560,53,116,23,977.09,2,4,,,,,,,,,,,
72.6,821,604,67,122,28,190.37,3,3,,,,,,,,,,,
70.5,816,596,70,131,19,635.46,4,5,,,,,,,,,,,
81.4,783,591,60,106,26,16.41,3,3,,,,,,,,,,,
82.1,792,565,82,114,31,179.81,3,3,,,,,,,,,,,
67.9,818,609,64,121,24,262.15,2,4,,,,,,,,,,,
69.9,737,520,58,133,26,71.71,2,3,,,,,,,,,,,
70.1,835,618,72,115,30,11.71,4,4,,,,,,,,,,,
80.3,826,563,75,152,36,976.3,2,3,,,,,,,,,,,
92.7,794,594,65,103,32,189.58,4,5,,,,,,,,,,,
70.4,851,604,87,123,37,194.96,3,2,,,,,,,,,,,
72.4,756,525,69,138,24,70.96,2,2,,,,,,,,,,,
75,843,623,60,129,31,354.96,2,5,,,,,,,,,,,
86.1,799,568,74,135,22,977.3,3,3,,,,,,,,,,,
90.3,749,507,87,134,21,190.58,4,3,,,,,,,,,,,
66,839,605,69,144,21,635.67,1,4,,,,,,,,,,,
66.8,748,550,60,119,19,16.62,2,5,,,,,,,,,,,
79,796,581,74,127,14,180.02,2,4,,,,,,,,,,,
90.1,782,555,77,131,19,262.36,2,3,,,,,,,,,,,
85.1,834,599,67,147,21,71.92,4,2,,,,,,,,,,,
65.6,696,510,46,122,18,11.92,3,5,,,,,,,,,,,
70.1,820,608,62,130,20,976.51,2,4,,,,,,,,,,,
82.4,795,553,71,153,18,189.79,2,2,,,,,,,,,,,
85.1,786,584,53,137,12,195.17,3,5,,,,,,,,,,,
86.3,847,611,75,138,23,71.17,4,5,,,,,,,,,,,
71.2,749,585,64,79,21,355.17,3,5,,,,,,,,,,,
69.6,815,611,58,128,18,22.08,3,4,,,,,,,,,,,
74.5,790,526,89,158,17,46.97,4,5,,,,,,,,,,,
82.4,591,414,42,111,24,134.6,3,4,,,,,,,,,,,
81.5,579,389,46,115,29,13.68,5,3,,,,,,,,,,,
63.7,765,555,62,122,26,8.45,1,1,,,,,,,,,,,
76.9,860,586,87,154,33,637.1,2,5,,,,,,,,,,,
87.67,802,613,69,97,23,18.05,2,1,,,,,,,,,,,
92.7,819,587,60,147,25,181.45,5,4,,,,,,,,,,,
87.9,809,613,64,114,18,263.79,4,4,,,,,,,,,,,
64.6,723,528,67,107,21,73.35,3,5,,,,,,,,,,,
77.4,615,416,57,127,15,13.35,2,5,,,,,,,,,,,
77,637,391,79,147,20,977.94,2,4,,,,,,,,,,,
85,904,718,61,112,13,191.22,5,3,,,,,,,,,,,
92.34,572,381,52,120,19,196.6,2,5,,,,,,,,,,,
67.3,606,400,66,117,23,72.6,3,5,,,,,,,,,,,
70.3,838,615,69,135,19,356.6,4,5,,,,,,,,,,,
75,730,530,59,116,25,635.8,3,4,,,,,,,,,,,
80.76,668,418,81,154,15,16.75,3,3,,,,,,,,,,,
82.1,719,517,63,107,32,180.15,4,3,,,,,,,,,,,
68.32,833,615,57,124,37,262.49,1,4,,,,,,,,,,,
74.6,842,608,71,139,24,72.05,2,2,,,,,,,,,,,
82.1,791,553,74,133,31,12.05,2,4,,,,,,,,,,,
85.6,817,598,64,135,20,976.64,4,5,,,,,,,,,,,
84,749,509,86,136,18,189.92,1,1,,,,,,,,,,,
67.2,838,607,68,140,23,635.01,2,5,,,,,,,,,,,
72.3,739,552,59,112,16,15.96,5,4,,,,,,,,,,,
80.7,803,583,73,128,19,179.36,2,4,,,,,,,,,,,
83.1,843,610,86,125,22,261.7,4,2,,,,,,,,,,,
88.7,816,584,68,136,28,71.26,2,5,,,,,,,,,,,
66.2,821,610,59,123,29,11.26,3,5,,,,,,,,,,,
70.3,746,525,73,125,23,975.85,4,3,,,,,,,,,,,
71.9,665,413,76,148,28,46.46,3,5,,,,,,,,,,,
78.4,614,388,66,141,19,134.09,2,5,,,,,,,,,,,
79.7,928,715,45,142,26,13.17,2,2,,,,,,,,,,,
68.4,543,378,61,73,31,7.94,2,3,,,,,,,,,,,
73.5,617,397,70,130,20,636.59,4,5,,,,,,,,,,,
72.4,824,612,52,141,19,17.54,3,4,,,,,,,,,,,
84.5,716,527,74,100,15,180.94,3,2,,,,,,,,,,,
70.5,628,415,63,121,29,263.28,2,4,,,,,,,,,,,
60.5,789,589,57,117,26,72.84,2,3,,,,,,,,,,,
72.9,808,563,60,159,26,12.84,4,5,,,,,,,,,,,
75,843,607,91,123,22,977.43,2,5,,,,,,,,,,,
78.9,754,518,44,158,34,190.71,3,2,,,,,,,,,,,
77,820,616,48,129,27,635.8,3,3,,,,,,,,,,,
66.4,794,561,64,134,35,16.75,3,5,,,,,,,,,,,
74.3,830,592,89,118,31,180.15,4,3,,,,,,,,,,,
72.1,825,602,71,128,24,262.49,1,5,,,,,,,,,,,
73.5,750,523,62,141,24,72.05,2,4,,,,,,,,,,,
70.2,840,621,66,136,17,12.05,2,3,,,,,,,,,,,
60.3,775,566,69,120,20,976.64,2,4,,,,,,,,,,,
77.1,716,505,59,138,14,189.92,4,2,,,,,,,,,,,
67.3,846,603,81,135,27,195.3,3,5,,,,,,,,,,,
72.1,792,548,63,150,31,71.3,2,4,,,,,,,,,,,
69.8,775,579,54,121,21,355.3,2,5,,,,,,,,,,,
79.35,767,553,70,111,33,977.64,3,5,,,,,,,,,,,
67,811,597,73,119,22,190.92,2,4,,,,,,,,,,,
89.2,728,508,63,125,32,636.01,3,3,,,,,,,,,,,
80.95,885,606,85,157,37,16.96,4,5,,,,,,,,,,,
78.2,764,551,67,116,30,180.36,3,3,,,,,,,,,,,
74.2,649,393,58,167,31,262.7,3,3,,,,,,,,,,,
88.4,941,720,72,128,21,72.26,2,4,,,,,,,,,,,
69.8,637,383,85,143,26,12.26,2,3,,,,,,,,,,,
74.2,627,402,67,127,31,976.85,4,4,,,,,,,,,,,
82.1,828,617,58,135,18,190.13,2,3,,,,,,,,,,,
66.9,766,532,72,135,27,195.51,5,5,,,,,,,,,,,
74.7,664,420,75,140,29,71.51,2,5,,,,,,,,,,,
84.1,717,519,65,114,19,355.51,2,4,,,,,,,,,,,
70.4,821,617,44,127,33,22.42,2,4,,,,,,,,,,,
76.4,842,610,60,134,38,47.31,4,5,,,,,,,,,,,
67.1,792,555,69,141,27,134.94,3,5,,,,,,,,,,,
86.1,826,600,51,143,32,14.02,2,5,,,,,,,,,,,
76.5,686,511,73,79,23,8.79,2,5,,,,,,,,,,,
86.05,832,609,62,131,30,637.44,3,4,,,,,,,,,,,
88.55,826,554,87,150,35,18.39,2,3,,,,,,,,,,,
68.1,788,585,69,112,22,181.79,2,3,,,,,,,,,,,
85.3,806,612,60,110,24,264.13,2,5,,,,,,,,,,,
70.3,799,586,64,117,32,73.69,2,5,,,,,,,,,,,
72,873,612,67,156,38,13.69,4,5,,,,,,,,,,,
72.1,716,527,57,101,31,978.28,3,4,,,,,,,,,,,
67.4,691,415,79,159,38,191.56,2,3,,,,,,,,,,,
86.4,597,390,61,115,31,196.94,2,4,,,,,,,,,,,
96.15,939,717,52,139,31,72.94,3,3,,,,,,,,,,,
89.05,836,607,68,143,18,356.94,4,5,,,,,,,,,,,
69.1,765,522,71,138,34,636.14,3,3,,,,,,,,,,,
69.1,633,410,61,138,24,17.09,3,3,,,,,,,,,,,
77.9,632,385,83,138,26,180.49,2,4,,,,,,,,,,,
68.3,943,712,65,142,24,262.83,2,3,,,,,,,,,,,
74.6,564,375,56,117,16,72.39,4,4,,,,,,,,,,,
72,612,394,70,120,28,12.39,2,3,,,,,,,,,,,
68.7,835,609,83,126,17,976.98,4,5,,,,,,,,,,,
68.1,749,524,65,146,14,190.26,3,2,,,,,,,,,,,
70.3,626,412,56,133,25,635.35,2,2,,,,,,,,,,,
62.1,782,586,70,110,16,16.3,2,5,,,,,,,,,,,
68.9,780,560,73,118,29,179.7,3,2,,,,,,,,,,,
68.3,812,604,63,119,26,262.04,5,3,,,,,,,,,,,
70.8,740,515,42,155,28,71.6,1,5,,,,,,,,,,,
80.6,821,613,73,109,26,11.6,2,5,,,,,,,,,,,
68.7,808,558,86,149,15,976.19,3,4,,,,,,,,,,,
72.9,810,589,68,119,34,46.8,4,2,,,,,,,,,,,
67.5,827,599,59,139,30,134.43,3,1,,,,,,,,,,,
80.6,748,520,73,133,22,13.51,2,4,,,,,,,,,,,
72.3,858,618,76,138,26,8.28,4,2,,,,,,,,,,,
70.3,628,400,66,135,27,636.93,2,5,,,,,,,,,,,
62.1,838,615,45,146,32,17.88,3,5,,,,,,,,,,,
67.4,735,530,61,115,29,181.28,4,3,,,,,,,,,,,
69.9,644,418,70,120,36,263.62,3,5,,,,,,,,,,,
66.1,809,592,52,139,26,71.91,2,5,,,,,,,,,,,
70.1,804,566,74,136,28,11.91,2,2,,,,,,,,,,,
66.8,805,610,63,111,21,976.5,2,3,,,,,,,,,,,
66.8,755,521,88,109,37,189.78,5,3,,,,,,,,,,,
79.2,836,619,70,123,24,634.87,3,5,,,,,,,,,,,
67.6,805,564,61,156,24,15.82,2,4,,,,,,,,,,,
70.3,783,595,65,105,18,179.22,2,5,,,,,,,,,,,
68,841,605,68,149,19,261.56,3,5,,,,,,,,,,,
66.9,733,526,58,125,24,71.12,2,4,,,,,,,,,,,
72.2,855,624,80,140,11,11.12,3,4,,,,,,,,,,,
82.3,947,606,165,162,14,11.64,2,5,,,,,,,,,,,
80.2,844,517,184,118,25,13.58,2,2,,,,,,,,,,,
84.2,917,615,156,125,21,25.43,2,3,,,,,,,,,,,
89.2,864,560,140,139,25,60.36,4,5,,,,,,,,,,,
92.5,882,591,129,143,19,6.89,3,4,,,,,,,,,,,
82.3,875,589,127,138,21,10,3,2,,,,,,,,,,,
90.2,876,563,166,122,25,11.66,4,2,,,,,,,,,,,
89.3,941,607,185,120,29,6.74,2,1,,,,,,,,,,,
91.6,816,518,157,116,25,23.83,3,3,,,,,,,,,,,
95.3,942,616,141,158,27,37.28,2,5,,,,,,,,,,,
80.3,839,561,130,127,21,10.25,3,1,,,,,,,,,,,
83.1,882,592,128,144,18,5,3,3,,,,,,,,,,,
77.8,936,602,167,138,29,14.05,2,4,,,,,,,,,,,
88.38,861,513,186,133,29,45.85,2,5,,,,,,,,,,,
80.18,904,611,158,107,28,34.71,4,4,,,,,,,,,,,
80.3,840,556,142,115,27,9.95,3,2,,,,,,,,,,,
90.1,919,587,183,121,28,64.64,3,4,,,,,,,,,,,
88.6,944,608,155,153,28,67.16,2,5,,,,,,,,,,,
95,826,553,139,107,27,64.86,3,2,,,,,,,,,,,
92.3,667,407,128,115,17,72.64,3,3,,,,,,,,,,,
77.43,933,622,126,174,11,13.9,2,5,,,,,,,,,,,
82.8,827,537,165,109,16,13.04,2,4,,,,,,,,,,,
82.05,719,425,184,96,14,14.98,4,2,,,,,,,,,,,
85.2,659,400,156,90,13,26.83,3,5,,,,,,,,,,,
87.4,829,559,140,119,11,61.76,2,5,,,,,,,,,,,
77.21,806,603,129,62,12,8.29,2,5,,,,,,,,,,,
81.5,728,514,127,65,22,11.4,2,5,,,,,,,,,,,
80.76,874,612,166,71,25,13.06,4,4,,,,,,,,,,,
87.54,847,557,185,87,18,8.14,3,3,,,,,,,,,,,
85.1,866,588,158,105,15,25.23,5,5,,,,,,,,,,,
80.17,904,614,142,124,24,38.68,3,1,,,,,,,,,,,
83.87,748,529,131,68,20,11.65,2,3,,,,,,,,,,,
80.76,632,417,129,69,17,6.4,2,4,,,,,,,,,,,
88.87,656,392,168,77,19,12.4,2,4,,,,,,,,,,,
82.3,861,551,187,100,23,14.06,3,1,,,,,,,,,,,
81.3,891,595,159,120,17,9.14,2,5,,,,,,,,,,,
93.6,768,506,143,106,13,26.23,2,2,,,,,,,,,,,
88.7,912,603,132,152,25,39.68,3,4,,,,,,,,,,,
95.6,780,514,130,115,21,12.65,2,4,,,,,,,,,,,
90.3,944,612,169,137,26,7.4,3,1,,,,,,,,,,,
78.59,906,557,188,142,19,16.45,2,4,,,,,,,,,,,
97.45,901,588,160,136,17,48.25,4,2,,,,,,,,,,,
87.6,885,586,143,131,25,37.11,2,5,,,,,,,,,,,
95.86,832,560,132,115,25,12.35,3,5,,,,,,,,,,,
88.56,872,604,130,113,25,67.04,4,3,,,,,,,,,,,
78.59,828,515,169,119,25,72.05,3,5,,,,,,,,,,,
78.2,976,613,188,151,24,13.31,2,5,,,,,,,,,,,
75.8,852,558,160,110,24,12.45,2,2,,,,,,,,,,,
85.54,880,589,144,125,22,14.39,2,3,,,,,,,,,,,
78.18,880,599,133,133,15,26.24,4,5,,,,,,,,,,,
79.2,791,510,131,134,16,61.17,3,4,,,,,,,,,,,
81,891,608,170,101,12,7.7,3,2,,,,,,,,,,,
77.5481,860,553,189,108,10,10.81,2,4,,,,,,,,,,,
85,864,584,161,108,11,12.47,2,3,,,,,,,,,,,
78.18,906,605,145,146,10,7.55,4,5,,,,,,,,,,,
76.51,845,550,186,93,16,24.64,2,5,,,,,,,,,,,
81.1,670,404,131,119,16,38.09,3,2,,,,,,,,,,,
83.46,918,619,129,155,15,11.06,3,3,,,,,,,,,,,
95.86,820,534,168,102,16,5.81,2,4,,,,,,,,,,,
92,713,422,187,89,15,12.63,4,2,,,,,,,,,,,
88.56,664,397,159,90,18,7.71,3,5,,,,,,,,,,,
81.87,839,556,143,121,19,24.8,2,5,,,,,,,,,,,
75.8,817,600,132,67,18,38.25,2,5,,,,,,,,,,,
77,726,511,130,75,10,11.22,2,5,,,,,,,,,,,
98.4,889,609,169,85,26,5.97,4,4,,,,,,,,,,,
75.21,855,554,188,100,13,15.02,3,3,,,,,,,,,,,
83.403,861,585,160,102,14,46.82,5,5,,,,,,,,,,,
83.46,909,611,144,134,20,35.68,3,1,,,,,,,,,,,
83.58,808,526,185,82,15,10.92,2,3,,,,,,,,,,,
86,676,414,157,82,23,65.61,2,4,,,,,,,,,,,
78.59,631,389,141,82,19,68.13,2,4,,,,,,,,,,,
92.3,790,548,130,97,15,65.83,3,1,,,,,,,,,,,
83.46,862,592,137,110,23,73.61,2,5,,,,,,,,,,,
86.87,763,503,126,106,28,14.87,2,2,,,,,,,,,,,
91.2,899,600,124,155,20,14.01,3,4,,,,,,,,,,,
78.76,805,511,163,108,23,16.45,2,4,,,,,,,,,,,
85.54,936,609,182,120,25,48.25,3,1,,,,,,,,,,,
83.1,855,554,154,123,24,37.11,3,5,,,,,,,,,,,
87.5,877,585,138,131,23,12.35,4,3,,,,,,,,,,,
92,866,583,127,132,24,67.04,1,5,,,,,,,,,,,
85.3,812,557,125,109,21,69.56,2,4,,,,,,,,,,,
87.5,909,601,164,134,10,67.26,2,3,,,,,,,,,,,
87.2,831,512,183,127,9,71,2,4,,,,,,,,,,,
91.2,912,610,155,133,14,16.3,4,2,,,,,,,,,,,
99.2,802,555,139,96,12,15.44,3,5,,,,,,,,,,,
87.2,879,586,167,113,13,17.38,2,4,,,,,,,,,,,
94.3,928,596,186,134,12,29.23,2,5,,,,,,,,,,,
90.1,840,507,158,157,18,64.16,3,5,,,,,,,,,,,
93.8,878,605,142,111,20,10.69,2,4,,,,,,,,,,,
95.8,827,550,131,121,25,10.62,3,3,,,,,,,,,,,
81.2,897,581,129,169,18,12.28,4,5,,,,,,,,,,,
86.4,894,602,168,108,16,7.36,2,4,,,,,,,,,,,
83.7,848,547,187,94,20,24.45,4,2,,,,,,,,,,,
97.43,669,401,159,88,21,37.9,3,5,,,,,,,,,,,
84.81,885,596,143,128,18,10.87,2,4,,,,,,,,,,,
85.6,760,507,184,54,15,5.62,2,5,,,,,,,,,,,
92.7,834,604,129,78,23,11.62,3,5,,,,,,,,,,,
90.3,727,515,127,74,11,13.28,2,4,,,,,,,,,,,
98.2,887,613,166,95,13,8.36,3,3,,,,,,,,,,,
95.1,869,558,186,104,21,25.45,4,5,,,,,,,,,,,
79.2,904,589,158,134,23,38.9,3,3,,,,,,,,,,,
88.6,811,587,142,62,20,11.87,3,3,,,,,,,,,,,
89.23,820,561,183,64,12,6.62,2,4,,,,,,,,,,,
89.5,820,605,128,73,14,15.67,2,3,,,,,,,,,,,
88.9,770,516,126,108,20,47.47,4,4,,,,,,,,,,,
78.6,910,614,165,108,23,36.33,2,3,,,,,,,,,,,
87.18,869,559,184,104,22,11.57,4,5,,,,,,,,,,,
84.21,916,590,156,148,22,66.26,3,2,,,,,,,,,,,
89.4,867,600,140,105,22,71.27,2,2,,,,,,,,,,,
88,778,511,129,117,21,12.53,2,5,,,,,,,,,,,
84.21,886,609,131,127,19,11.67,3,2,,,,,,,,,,,
87.18,833,554,138,120,21,13.61,5,3,,,,,,,,,,,
84.21,855,585,127,125,18,25.46,3,5,,,,,,,,,,,
89.1,849,606,125,94,24,60.39,4,2,,,,,,,,,,,
86.7,844,551,164,108,21,6.92,3,2,,,,,,,,,,,
83.4,710,405,183,100,22,10.03,3,3,,,,,,,,,,,
94.5,943,620,155,150,18,11.69,4,5,,,,,,,,,,,
91.6,796,535,139,103,19,6.77,1,4,,,,,,,,,,,
97.1,689,423,128,114,24,23.86,2,5,,,,,,,,,,,
95.6,680,398,126,130,26,37.31,2,4,,,,,,,,,,,
82.39,860,557,165,116,22,10.28,3,3,,,,,,,,,,,
99,857,516,184,130,27,5.03,4,5,,,,,,,,,,,
94.7,911,614,156,121,20,11.85,3,2,,,,,,,,,,,
96.7,900,559,182,137,22,6.93,5,4,,,,,,,,,,,
91,901,590,154,131,26,24.02,4,2,,,,,,,,,,,
82.39,888,600,138,126,24,37.47,1,4,,,,,,,,,,,
85.5,803,511,166,100,26,10.44,2,3,,,,,,,,,,,
81.7,926,609,185,108,24,5.19,2,4,,,,,,,,,,,
87.4,849,554,157,114,24,16.64,4,2,,,,,,,,,,,
82.81,894,585,141,146,22,48.44,5,3,,,,,,,,,,,
81.1,855,606,130,100,19,37.3,2,2,,,,,,,,,,,
84.7,802,551,128,108,15,12.54,2,5,,,,,,,,,,,
81.47,752,405,167,167,13,67.23,2,2,,,,,,,,,,,
79.37,920,620,186,102,12,72.24,3,3,,,,,,,,,,,
82.81,851,535,158,146,12,13.5,4,3,,,,,,,,,,,
79.37,677,423,142,99,13,12.64,1,4,,,,,,,,,,,
84.4,716,398,183,126,9,14.58,2,5,,,,,,,,,,,
82.21,874,557,141,161,15,26.43,2,4,,,,,,,,,,,
97,885,601,169,92,23,61.36,2,3,,,,,,,,,,,
97,814,512,188,92,22,7.89,4,2,,,,,,,,,,,
91.7,888,610,160,97,21,11,3,5,,,,,,,,,,,
85.18,842,555,144,127,16,12.66,2,4,,,,,,,,,,,
81.7,807,586,133,65,23,7.74,2,2,,,,,,,,,,,
85.2,831,612,131,65,23,24.83,3,5,,,,,,,,,,,
97.1,786,527,170,68,21,38.28,4,5,,,,,,,,,,,
77,714,415,189,93,17,11.25,3,5,,,,,,,,,,,
85.18,673,390,161,98,24,6,3,4,,,,,,,,,,,
82.21,827,549,145,120,13,12.82,4,5,,,,,,,,,,,
90.29,848,593,186,58,11,7.9,3,4,,,,,,,,,,,
86.59,726,504,131,68,23,24.99,5,3,,,,,,,,,,,
82.39,820,601,129,70,20,38.44,1,1,,,,,,,,,,,
95.7,794,512,168,91,23,11.41,2,5,,,,,,,,,,,
82.21,911,610,188,97,16,6.16,2,1,,,,,,,,,,,
87.1,824,555,160,92,17,17.61,1,5,,,,,,,,,,,
92.1,899,586,144,145,24,49.41,2,5,,,,,,,,,,,
82.21,944,584,185,146,29,38.27,3,4,,,,,,,,,,,
87.4,807,558,130,97,22,13.51,4,2,,,,,,,,,,,
86,863,602,128,113,20,68.2,3,1,,,,,,,,,,,
91,840,513,167,138,22,73.21,2,4,,,,,,,,,,,
97,940,611,186,122,21,14.47,4,2,,,,,,,,,,,
88.82,859,556,158,127,18,13.61,2,5,,,,,,,,,,,
78.5,836,587,142,98,9,15.55,3,5,,,,,,,,,,,
88.03,840,597,131,99,13,27.4,4,3,,,,,,,,,,,
86.2,809,508,181,110,10,62.33,3,5,,,,,,,,,,,
77.2,909,606,153,138,12,8.86,2,5,,,,,,,,,,,
88.3,791,551,137,96,7,11.97,2,2,,,,,,,,,,,
80.3,839,582,126,123,8,13.63,2,3,,,,,,,,,,,
93.4,860,603,124,117,16,8.71,4,5,,,,,,,,,,,
86.2,849,548,163,124,14,25.8,3,4,,,,,,,,,,,
75.4,700,402,182,91,25,39.25,3,2,,,,,,,,,,,
79.66,863,597,154,95,17,12.22,2,4,,,,,,,,,,,
78.1,768,508,138,105,17,6.97,2,3,,,,,,,,,,,
80.4,947,605,179,145,18,13.79,4,5,,,,,,,,,,,
81.7,769,516,137,89,27,8.87,2,5,,,,,,,,,,,
80.3,905,614,165,108,18,25.96,3,2,,,,,,,,,,,
82.2,915,559,184,155,17,39.41,3,3,,,,,,,,,,,
81.1,872,590,156,104,22,12.38,3,5,,,,,,,,,,,
86.03,824,588,140,85,11,7.13,4,3,,,,,,,,,,,
82.59,835,562,129,130,14,18.58,1,5,,,,,,,,,,,
78.1,884,606,127,133,18,50.38,2,4,,,,,,,,,,,
91.88,842,517,166,141,18,39.24,2,3,,,,,,,,,,,
80.64,945,615,184,122,24,14.48,2,4,,,,,,,,,,,
90.7,837,560,156,105,16,69.17,4,2,,,,,,,,,,,
82.59,874,591,140,125,18,74.18,3,5,,,,,,,,,,,
76.5,922,601,129,168,24,15.44,2,4,,,,,,,,,,,
87.1,835,512,179,117,27,14.58,2,5,,,,,,,,,,,
79.46,924,610,151,144,19,16.52,3,5,,,,,,,,,,,
80.41,840,555,135,128,22,28.37,2,4,,,,,,,,,,,
81,870,586,124,136,24,63.3,3,3,,,,,,,,,,,
78.41,859,607,122,107,23,9.83,4,5,,,,,,,,,,,
86.82,845,552,161,110,22,12.94,3,3,,,,,,,,,,,
81.1,729,406,180,120,23,14.6,3,3,,,,,,,,,,,
77.2,946,621,152,153,20,9.68,2,4,,,,,,,,,,,
97,780,536,136,95,13,10.47,2,3,,,,,,,,,,,
80,743,424,177,129,13,65.16,4,4,,,,,,,,,,,
86.613,716,399,135,170,12,67.68,2,3,,,,,,,,,,,
79.46,839,558,163,105,13,65.38,4,5,,,,,,,,,,,
83.98,803,517,182,95,9,73.16,3,2,,,,,,,,,,,
86.59,858,615,154,79,10,14.42,2,2,,,,,,,,,,,
80.41,838,560,138,124,16,13.56,2,5,,,,,,,,,,,
